cod_ti,nome_ti,pop_res_2010,pop_idg_2010,pop_res_2022,pop_idg_2022
50016,Acapuri de Cima,284,284,106,106
7951,Acimã,92,89,83,79
50367,Aconã,66,66,90,90
7960,Água Preta/Inari,376,349,142,124
50382,Águas Belas,232,228,394,388
50694,Águas Claras (1),,,38,38
50126,Aldeia Kondá,658,657,1124,1106
7129,Aldeia Limão Verde,1092,1092,2087,2086
50608,Aldeia Velha,928,891,1465,1082
9938,Alto Rio Guamá,4168,3748,4745,1926
50017,Alto Rio Negro,15313,15183,18171,18042
9482,Alto Rio Purus,2459,2449,3144,3129
8540,Alto Sepatini,56,56,46,29
9644,Alto Tarauacá,0,0,3,
50101,Alto Turiaçu,1929,1864,4183,4168
7188,Amambai,5469,5468,6864,6861
50808,Amanayé (1),,,90,69
50695,Amaral/Tekoá Kuriy (1),,,102,102
9997,Anambé,129,129,203,179
6866,Ananás,14,,26,26
50087,Anaro,39,,55,52
8524,Andirá-Marau,11334,11321,14455,14307
6874,Aningal,208,208,267,264
6882,Anta,115,99,166,160
6769,Apiaka/Kayabi,805,797,859,857
5584,Apinayé,1885,1878,2731,2698
50336,Apipica,86,86,145,144
40002,Apucarana,1417,1415,1648,1636
50337,Apurinã do Igarapé Mucuim,547,506,61,58
8672,Apurinã do Igarapé São João,266,224,220,190
7927,Apurinã Igarapé Tauamirim,123,123,156,156
7935,Apurinã Km 124 BR-317,138,135,315,300
5940,Apyterewa,4255,3588,1383,767
6890,Araçá,1080,1043,2403,2289
9806,Arara,618,526,389,388
50675,Arara da Volta Grande do Xingu,284,243,240,234
9490,Arara do Igarapé Humaitá,493,493,658,654
50671,Arara do Rio Amônia,407,346,437,429
50174,Arara do Rio Branco,126,125,136,120
9865,Araribá,536,534,649,641
7790,Arariboia,7329,6997,10318,10158
50019,Arary,269,261,162,161
9849,Araweté Igarapé Ipixuna,393,393,543,539
3271,Areões,965,965,1322,1321
7331,Aripuanã,311,311,381,376
50020,Ariramba,84,82,16,
50644,Arroio-Korá,652,648,769,747
6300,Atikum,3213,3153,3544,3533
50361,Avá-Canoeiro,5,,11,
5282,Avá-Guarani do Ocoí,630,630,504,503
6610,Awa,891,365,279,113
7749,Bacurizinho,2973,2903,4327,4309
50720,Bacurizinho (1),,,584,95
50090,Badjonkore,109,109,,
50654,Baía dos Guató,5,,129,121
1317,Bakairi,616,612,794,779
8699,Balaio,75,70,243,242
8559,Banawá,115,115,206,201
5371,Barão de Antonina,521,491,474,467
6904,Barata Livramento,669,665,865,820
50376,Barra,139,139,94,92
5800,Barra Velha,3064,2989,4175,3448
50769,Barragem Norte (1),,,631,538
8630,Barreira da Missão,790,616,1043,1038
50326,Barreirinha,136,136,148,102
50021,Barro Alto,237,237,145,88
50180,Batovi,7,,170,170
9814,Baú,506,501,672,672
50340,Betania,4452,4441,4875,4872
8583,Boa Vista - AM,30,30,37,37
50672,Boa Vista - PR,1226,116,236,72
10448,Boa Vista Sertão do Promirim,156,156,195,193
7838,Boca do Acre,144,84,301,197
50342,Bom Intento,814,381,551,537
6912,Bom Jesus,107,97,54,50
6920,Boqueirão,460,459,473,466
50713,Bragança-Marituba (1),,,261,200
50377,Brejo do Burgo,570,524,1178,1034
50157,Buriti,2613,2605,3142,3119
50781,Buriti (1),,,181,163
50158,Buritizinho,617,615,709,701
7293,Caarapó,4283,4283,4418,4414
9504,Cabeceira do Rio Acre,247,245,377,377
7943,Cacau do Tarauaca,431,418,320,312
50127,Cachoeira dos Inácios,134,134,186,186
6696,Cachoeira Seca,2763,2289,1900,404
7285,Cachoeirinha,3314,3255,3407,3399
50724,Cachoeirinha (1),,,489,306
7633,Cacique Doble,832,832,858,856
50657,Cacique Fontoura,0,0,8,
1880,Caiçara/Ilha de São Pedro,335,316,331,329
50360,Caieiras Velha II,246,246,19,
7919,Caititu,256,241,969,907
6939,Cajueiro,113,112,246,234
50023,Cajuhiri Atravessado,492,446,233,204
8591,Camadeni,96,96,67,30
8532,Camicua,464,454,457,434
9423,Campinas/Katukina,613,613,703,682
50755,Campo Bonito (1),,,129,129
3816,Cana Brava/Guajajara,7158,7133,10824,10662
6947,Canauanim,834,832,1177,1169
50763,Canelinha (1),,,33,
50139,Cantagalo,145,145,164,156
50140,Capivari,17,,25,25
7404,Capoto/Jarina,1004,1004,1589,1588
5681,Caramuru/Paraguassu,4678,3960,3959,3022
50362,Carretão I,162,162,153,150
50363,Carretão II,9,,18,
7641,Carreteiro,266,244,326,306
7757,Caru,379,375,779,774
7994,Catipari/Mamoria,261,257,302,202
43007,Cerrito,544,544,291,291
50181,Chão Preto,337,255,279,279
8001,Coata-Laranjal,5328,4727,4171,4110
5657,Comboios,500,500,849,
5690,Coroa Vermelha,3541,3462,3037,2476
50660,Córrego João Pereira,413,409,621,619
50700,Cué Cué/Marabitanas (1),,,2158,2093
8028,Cuia,280,224,496,485
50024,Cuiu-Cuiu,789,789,789,787
8036,Cunhã-Sapucaia,893,742,915,908
8044,Deni,1422,1420,2009,2004
50025,Diahui,19,,95,94
7307,Dourados,11146,11138,13673,13473
7447,Enawenê-Nawê,621,620,1027,1023
50107,Entre Serras,3181,3032,2211,2038
3298,Erikpatsá,908,908,1094,1094
7420,Escondido,30,30,80,80
50026,Espírito Santo,489,488,425,372
50698,Estação Parecis (1),,,36,18
7439,Estivadinho,37,37,47,47
50753,Estrada do Mar (1),,,105,105
8052,Estrela da Paz,495,495,1045,992
7811,Évare I,16890,16686,21210,20177
7820,Évare II,3196,3164,2721,2713
40001,Faxinal,609,605,628,622
