cidade,Total_total,Total_cor_ou_raca,Total_se_considera,Total_nao_se_declara,EmTI_total,EmTI_cor_ou_raca,EmTI_se_considera,EmTI_nao_se_declara,Pop_total,Pop_cor_ou_raca,Pop_se_considera,Pop_nao_se_declara,Pop_em_TI_total,Pop_em_TI_cor_ou_raca,Pop_em_TI_se_considera,Pop_em_TI_nao_se_declara
Icapuí,6,6,0,0,0,0,0,0,21433,6,0,21427,0,0,0,0
Icó,17,5,12,0,0,0,0,0,62622,5,12,62605,0,0,0,0
Iguatu,114,114,0,0,0,0,0,0,98064,114,0,97950,0,0,0,0
Independência,19,19,0,0,0,0,0,0,24024,19,0,24005,0,0,0,0
Ipaporanga,5,5,0,0,0,0,0,0,11575,5,0,11570,0,0,0,0
Ipaumirim,1,1,0,0,0,0,0,0,12083,1,0,12082,0,0,0,0
Ipu,29,29,0,0,0,0,0,0,41081,29,0,41052,0,0,0,0
Ipueiras,62,62,0,0,0,0,0,0,36798,62,0,36736,0,0,0,0
Iracema,6,6,0,0,0,0,0,0,14001,6,0,13995,0,0,0,0
Irauçuba,6,6,0,0,0,0,0,0,23915,6,0,23909,0,0,0,0
Itaiçaba,3,3,0,0,0,0,0,0,7536,3,0,7533,0,0,0,0
Itaitinga,56,56,0,0,0,0,0,0,64648,56,0,64592,0,0,0,0
Itapajé,18,18,0,0,0,0,0,0,46426,18,0,46408,0,0,0,0
Itapipoca,745,629,116,0,542,540,2,0,131123,629,116,130378,980,540,2,438
Itapiúna,1,1,0,0,0,0,0,0,17841,1,0,17840,0,0,0,0
Itarema,5115,3683,1432,0,508,508,0,0,42726,3683,1432,37611,510,508,0,2
Itatira,7,3,4,0,0,0,0,0,20424,3,4,20417,0,0,0,0
Jaguaretama,3,3,0,0,0,0,0,0,17232,3,0,17229,0,0,0,0
Jaguaribara,7,7,0,0,0,0,0,0,10356,7,0,10349,0,0,0,0
Jaguaribe,8,8,0,0,0,0,0,0,33726,8,0,33718,0,0,0,0
Jaguaruana,45,45,0,0,0,0,0,0,31701,45,0,31656,0,0,0,0
Jardim,121,31,90,0,0,0,0,0,27411,31,90,27290,0,0,0,0
Jati,1,1,0,0,0,0,0,0,7861,1,0,7860,0,0,0,0
Jijoca de Jericoacoara,21,21,0,0,0,0,0,0,25555,21,0,25534,0,0,0,0
Juazeiro do Norte,351,248,103,0,0,0,0,0,286120,248,103,285769,0,0,0,0
Jucás,10,10,0,0,0,0,0,0,23922,10,0,23912,0,0,0,0
Lavras da Mangabeira,9,9,0,0,0,0,0,0,30802,9,0,30793,0,0,0,0
Limoeiro do Norte,49,49,0,0,0,0,0,0,59560,49,0,59511,0,0,0,0
Madalena,4,4,0,0,0,0,0,0,16896,4,0,16892,0,0,0,0
Maracanaú,5111,3603,1508,0,2437,2042,395,0,234392,3603,1508,229281,2670,2042,395,233
Maranguape,184,113,71,0,0,0,0,0,105093,113,71,104909,0,0,0,0
Marco,14,13,1,0,0,0,0,0,25799,13,1,25785,0,0,0,0
Martinópole,12,9,3,0,0,0,0,0,10846,9,3,10834,0,0,0,0
Massapê,49,14,35,0,0,0,0,0,37697,14,35,37648,0,0,0,0
Mauriti,10,10,0,0,0,0,0,0,45561,10,0,45551,0,0,0,0
Meruoca,4,4,0,0,0,0,0,0,15162,4,0,15158,0,0,0,0
Milagres,6,6,0,0,0,0,0,0,25900,6,0,25894,0,0,0,0
Milhã,4,4,0,0,0,0,0,0,13999,4,0,13995,0,0,0,0
Miraíma,6,6,0,0,0,0,0,0,14196,6,0,14190,0,0,0,0
Missão Velha,55,44,11,0,0,0,0,0,36822,44,11,36767,0,0,0,0
Mombaça,4,4,0,0,0,0,0,0,37735,4,0,37731,0,0,0,0
Monsenhor Tabosa,4861,3436,1425,0,0,0,0,0,17149,3436,1425,12288,0,0,0,0
Morada Nova,23,23,0,0,0,0,0,0,61221,23,0,61198,0,0,0,0
Moraújo,0,0,0,0,0,0,0,0,8256,0,0,8256,0,0,0,0
Morrinhos,78,78,0,0,0,0,0,0,22753,78,0,22675,0,0,0,0
Mucambo,8,6,2,0,0,0,0,0,13666,6,2,13658,0,0,0,0
Mulungu,11,11,0,0,0,0,0,0,10569,11,0,10558,0,0,0,0
Nova Olinda,5,5,0,0,0,0,0,0,15399,5,0,15394,0,0,0,0
Nova Russas,31,31,0,0,0,0,0,0,30699,31,0,30668,0,0,0,0
Novo Oriente,602,466,136,0,0,0,0,0,27545,466,136,26943,0,0,0,0
Ocara,19,19,0,0,0,0,0,0,24493,19,0,24474,0,0,0,0
Orós,4,4,0,0,0,0,0,0,19675,4,0,19671,0,0,0,0
Pacajus,65,65,0,0,0,0,0,0,70534,65,0,70469,0,0,0,0
Pacatuba,1486,1104,382,0,505,480,25,0,81238,1104,382,79752,558,480,25,53
Pacoti,5,1,4,0,0,0,0,0,11186,1,4,11181,0,0,0,0
Pacujá,6,6,0,0,0,0,0,0,6175,6,0,6169,0,0,0,0
Palhano,3,3,0,0,0,0,0,0,9346,3,0,9343,0,0,0,0
Palmácia,7,7,0,0,0,0,0,0,10242,7,0,10235,0,0,0,0
Paracuru,107,107,0,0,0,0,0,0,38691,107,0,38584,0,0,0,0
Paraipaba,46,14,32,0,0,0,0,0,32216,14,32,32170,0,0,0,0
Parambu,18,16,2,0,0,0,0,0,31445,16,2,31427,0,0,0,0
Paramoti,29,5,24,0,0,0,0,0,10384,5,24,10355,0,0,0,0
Pedra Branca,10,10,0,0,0,0,0,0,40187,10,0,40177,0,0,0,0
Penaforte,6,6,0,0,0,0,0,0,8972,6,0,8966,0,0,0,0
Pentecoste,14,14,0,0,0,0,0,0,37813,14,0,37799,0,0,0,0
Pereiro,7,7,0,0,0,0,0,0,15274,7,0,15267,0,0,0,0
Pindoretama,45,36,9,0,0,0,0,0,23345,36,9,23300,0,0,0,0
Piquet Carneiro,5,5,0,0,0,0,0,0,16616,5,0,16611,0,0,0,0
Pires Ferreira,0,0,0,0,0,0,0,0,10606,0,0,10606,0,0,0,0
Poranga,1542,1257,285,0,0,0,0,0,12065,1257,285,10523,0,0,0,0
Porteiras,15,15,0,0,0,0,0,0,17050,15,0,17035,0,0,0,0
Potengi,1,1,0,0,0,0,0,0,8833,1,0,8832,0,0,0,0
Potiretama,0,0,0,0,0,0,0,0,5974,0,0,5974,0,0,0,0
Quiterianópolis,683,670,13,0,0,0,0,0,20213,670,13,19530,0,0,0,0
Quixadá,28,28,0,0,0,0,0,0,84165,28,0,84137,0,0,0,0
Quixelô,10,10,0,0,0,0,0,0,15910,10,0,15900,0,0,0,0
Quixeramobim,116,116,0,0,0,0,0,0,82122,116,0,82006,0,0,0,0
Quixeré,4,4,0,0,0,0,0,0,20874,4,0,20870,0,0,0,0
Redenção,22,22,0,0,0,0,0,0,27214,22,0,27192,0,0,0,0
Reriutaba,1,1,0,0,0,0,0,0,18606,1,0,18605,0,0,0,0
Russas,29,29,0,0,0,0,0,0,72928,29,0,72899,0,0,0,0
Saboeiro,3,3,0,0,0,0,0,0,13854,3,0,13851,0,0,0,0
