,dtg,Ano,Mês,Dia,UF,Local,latitude,longitude,Magnitude,Obs
34,2023-08-13,2023,8,13,CE,Chorozinho,-4.4,-38.41,2.3,Magnitude não revisada/preliminar
35,2023-08-13,2023,8,13,BA,Jacobina,-11.26,-40.51,1.5,Magnitude não revisada/preliminar
36,2023-08-12,2023,8,12,BA,Jacobina,-11.27,-40.53,1.9,Magnitude não revisada/preliminar
37,2023-08-11,2023,8,11,BA,Jaguarari,-9.86,-39.86,2.1,Magnitude não revisada/preliminar
38,2023-08-10,2023,8,10,BA,Jaguarari,-9.83,-39.88,2.0,Magnitude não revisada/preliminar
39,2023-08-10,2023,8,10,BA,Campo Formoso,-10.58,-40.39,2.0,Magnitude não revisada/preliminar
40,2023-08-10,2023,8,10,RN,Fernando Pedrosa,-5.85,-36.35,1.7,Magnitude não revisada/preliminar
41,2023-08-10,2023,8,10,RN,São Tomé,-6.05,-36.23,1.9,Magnitude não revisada/preliminar
42,2023-08-08,2023,8,8,CE,Quixeramobim,-5.12,-39.41,1.8,Magnitude não revisada/preliminar
43,2023-08-08,2023,8,8,BA,Jaguarari,-9.87,-39.88,2.3,Magnitude não revisada/preliminar
44,2023-08-05,2023,8,5,BA,Jacobina,-11.24,-40.54,2.1,Magnitude não revisada/preliminar
45,2023-08-05,2023,8,5,BA,Jacobina,-11.25,-40.53,2.4,Magnitude não revisada/preliminar
46,2023-08-04,2023,8,4,AL,Arapiraca,-9.73,-36.72,1.5,Magnitude não revisada/preliminar
47,2023-08-04,2023,8,4,PE,Caruaru,-8.3,-36.01,1.9,Magnitude não revisada/preliminar
48,2023-08-04,2023,8,4,AL,Limoeiro de Anadia,-9.71,-36.59,2.1,Magnitude não revisada/preliminar
49,2023-08-03,2023,8,3,CE,Paramoti,-4.19,-39.51,1.7,Magnitude não revisada/preliminar
50,2023-08-02,2023,8,2,BA,Serra do Ramalho,-13.69,-40.75,2.5,Magnitude não revisada/preliminar
51,2023-08-02,2023,8,2,CE,Chorozinho,-4.38,-38.44,1.9,Magnitude não revisada/preliminar
52,2023-08-01,2023,8,1,BA,Jacobina,-11.24,-40.55,2.1,Magnitude não revisada/preliminar
2,2023-07-28,2023,7,28,CE,Reriutaba,-4.14,-40.63,2.1,Magnitude não revisada/preliminar
3,2023-07-28,2023,7,28,PE,São Caetano,-8.37,-36.13,2.1,Magnitude não revisada/preliminar
4,2023-07-27,2023,7,27,CE,Chorozinho,-4.39,-38.46,2.7,Magnitude não revisada/preliminar
5,2023-07-21,2023,7,21,BA,Jacobina,-11.25,-40.5,1.8,Magnitude não revisada/preliminar
6,2023-07-19,2023,7,19,PE,Cachoeirinha,-8.58,-36.31,2.3,Magnitude não revisada/preliminar
7,2023-07-18,2023,7,18,BA,Monte Santo,-10.1,-39.73,2.5,Magnitude não revisada/preliminar
8,2023-07-16,2023,7,16,AL,Rio Largo,-9.42,-35.87,1.9,Magnitude não revisada/preliminar
9,2023-07-12,2023,7,12,CE,Orós,-6.28,-38.84,2.1,Magnitude não revisada/preliminar
10,2023-07-10,2023,7,10,CE,Senador Sá,-3.32,-40.45,1.5,Magnitude não revisada/preliminar
11,2023-07-10,2023,7,10,SE,Nossa Sra das Dores,-10.62,-37.2,1.8,Magnitude não revisada/preliminar
12,2023-07-10,2023,7,10,SE,Nossa Sra das Dores,-10.62,-37.21,1.7,Magnitude não revisada/preliminar
13,2023-07-04,2023,7,4,CE,Cascavel,-4.43,-38.38,2.1,Magnitude não revisada/preliminar
14,2023-07-04,2023,7,4,BA,Curaçá,-9.28,-39.99,1.5,Magnitude não revisada/preliminar
15,2023-07-03,2023,7,3,BA,Chorrochó,-9.53,-39.15,1.9,Magnitude não revisada/preliminar
16,2023-07-02,2023,7,2,BA,Jaguarari,-9.87,-39.91,1.8,Magnitude não revisada/preliminar
1,2023-06-30,2023,6,30,PE,Caruaru,-8.32,-35.96,1.9,Magnitude não revisada/preliminar
2,2023-06-23,2023,6,23,BA,Santaluz,-10.99,-39.3,1.9,Magnitude não revisada/preliminar
3,2023-06-23,2023,6,23,BA,Curaça,-9.84,-39.77,2.0,Magnitude não revisada/preliminar
4,2023-06-23,2023,6,23,BA,Curaça,-9.84,-39.94,1.7,Magnitude não revisada/preliminar
5,2023-06-23,2023,6,23,BA,Curaça,-9.86,-39.94,1.8,Magnitude não revisada/preliminar
6,2023-06-23,2023,6,23,BA,Maracás,-13.37,-40.4,2.0,Magnitude não revisada/preliminar
7,2023-06-19,2023,6,19,BA,Lapão,-11.4,-41.76,1.7,Magnitude não revisada/preliminar
8,2023-06-18,2023,6,18,BA,Jacobina,-11.21,-40.39,2.1,Magnitude não revisada/preliminar
9,2023-06-14,2023,6,14,BA,Maracás,-13.62,-40.65,2.0,Magnitude não revisada/preliminar
10,2023-06-03,2023,6,3,PE,Lagoa Grande,-8.77,-40.2,2.3,Magnitude não revisada/preliminar
11,2023-06-01,2023,6,1,CE,Maranguape,-4.09,-38.9,1.5,Magnitude não revisada/preliminar
2,2023-05-31,2023,5,31,PE,Cachoeirinha,-8.39,-36.33,1.5,Magnitude não revisada/preliminar
6,2023-05-29,2023,5,29,PE,Ouricuri,-8.04,-40.11,2.1,Magnitude não revisada/preliminar
7,2023-05-27,2023,5,27,PI,Júlio Borges,-10.54,-44.29,2.3,Magnitude não revisada/preliminar
8,2023-05-27,2023,5,27,BA,Maracás,-13.75,-40.69,2.1,Magnitude não revisada/preliminar
9,2023-05-27,2023,5,27,CE,Maranguape,-4.08,-38.9,1.7,Magnitude não revisada/preliminar
10,2023-05-27,2023,5,27,BA,Jacobina,-11.23,-40.55,2.3,Magnitude não revisada/preliminar
11,2023-05-26,2023,5,26,PE,São Caetano,-8.32,-36.11,2.1,Magnitude não revisada/preliminar
12,2023-05-25,2023,5,25,CE,Camocim,-2.97,-40.85,2.2,Magnitude não revisada/preliminar
13,2023-05-25,2023,5,25,BA,Jacobina,-11.26,-40.49,1.8,Magnitude não revisada/preliminar
14,2023-05-24,2023,5,24,PE,Bodocó,-7.68,-40.04,2.2,Magnitude não revisada/preliminar
15,2023-05-24,2023,5,24,BA,Jequié,-13.66,-39.94,2.0,Magnitude não revisada/preliminar
16,2023-05-23,2023,5,23,CE,Cariré,-4.05,-40.59,2.0,Magnitude não revisada/preliminar
17,2023-05-22,2023,5,22,BA,Jacobina,-11.29,-40.53,1.7,Magnitude não revisada/preliminar
18,2023-05-18,2023,5,18,BA,Jacobina,-11.32,-40.46,1.7,Magnitude não revisada/preliminar
19,2023-05-18,2023,5,18,CE,Cariré,-3.95,-40.61,1.5,Magnitude não revisada/preliminar
20,2023-05-18,2023,5,18,BA,Maracás,-13.68,-40.68,2.0,Magnitude não revisada/preliminar
21,2023-05-18,2023,5,18,BA,Maracás,-13.7,-40.68,2.1,Magnitude não revisada/preliminar
22,2023-05-17,2023,5,17,BA,Jacobina,-11.24,-40.55,1.7,Magnitude não revisada/preliminar
23,2023-05-16,2023,5,16,CE,Massapê,-3.48,-40.49,1.6,Magnitude não revisada/preliminar
24,2023-05-16,2023,5,16,BA,Jaborandi,-13.51,-44.27,2.8,Magnitude não revisada/preliminar
25,2023-05-13,2023,5,13,CE,Maranguape,-4.05,-38.82,1.9,Magnitude não revisada/preliminar
26,2023-05-13,2023,5,13,BA,Maracás,-13.52,-40.6,2.0,Magnitude não revisada/preliminar
27,2023-05-13,2023,5,13,BA,Maracás,-13.52,-40.6,2.0,Magnitude não revisada/preliminar
28,2023-05-13,2023,5,13,BA,Boninal,-12.83,-41.91,2.0,Magnitude não revisada/preliminar
29,2023-05-11,2023,5,11,PE,São Bento do Uma,-8.52,-36.3,2.1,Magnitude não revisada/preliminar
30,2023-05-11,2023,5,11,AL,Pedro Alexandre,-10.11,-37.73,2.6,Magnitude não revisada/preliminar
31,2023-05-09,2023,5,9,PE,Brejo da Madre de Deus,-8.2,-36.39,1.6,Magnitude não revisada/preliminar
32,2023-05-09,2023,5,9,PE,Moreno,-8.15,-35.22,1.8,Magnitude não revisada/preliminar
33,2023-05-08,2023,5,8,BA,Jaguarari,-9.87,-39.95,1.8,Magnitude não revisada/preliminar
34,2023-05-08,2023,5,8,BA,Jacobina,-11.24,-40.51,2.3,Magnitude não revisada/preliminar
35,2023-05-07,2023,5,7,CE,Russas,-4.71,-39.22,1.8,Magnitude não revisada/preliminar
36,2023-05-06,2023,5,6,BA,Jacobina,-11.23,-40.51,1.8,Magnitude não revisada/preliminar
37,2023-05-04,2023,5,4,CE,Maranguape,-4.01,-38.71,1.5,Magnitude não revisada/preliminar
38,2023-05-04,2023,5,4,CE,Redenção,-4.25,-38.78,1.6,Magnitude não revisada/preliminar
39,2023-05-04,2023,5,4,CE,Canindé,-4.45,-39.45,1.6,Magnitude não revisada/preliminar
40,2023-05-03,2023,5,3,BA,Camamu,-14.07,-39.31,2.1,Magnitude não revisada/preliminar
41,2023-05-03,2023,5,3,BA,Camamu,-14.07,-39.31,2.0,Magnitude não revisada/preliminar
42,2023-05-03,2023,5,3,BA,Camamu,-14.07,-39.31,2.1,Magnitude não revisada/preliminar
43,2023-05-03,2023,5,3,BA,Jaguarari,-9.86,-39.9,1.8,Magnitude não revisada/preliminar
44,2023-05-03,2023,5,3,CE,Maranguape,-4.11,-38.91,1.6,Magnitude não revisada/preliminar
45,2023-05-02,2023,5,2,CE,Maranguape,-4.09,-38.93,2.2,Magnitude não revisada/preliminar
46,2023-05-01,2023,5,1,CE,Maranguape,-4.07,-38.9,1.8,Magnitude não revisada/preliminar
47,2023-05-01,2023,5,1,BA,Jacobina,-11.25,-40.51,1.5,Magnitude não revisada/preliminar
48,2023-05-01,2023,5,1,CE,Maranguape,-4.06,-38.93,2.1,Magnitude não revisada/preliminar
2,2023-04-30,2023,4,30,AL,Anadia,-9.65,-36.34,1.5,Magnitude não revisada/preliminar
3,2023-04-30,2023,4,30,CE,Acaraú,-2.84,-40.87,2.1,Magnitude não revisada/preliminar
4,2023-04-30,2023,4,30,CE,Tejuçuoca,-3.82,-39.46,1.8,Magnitude não revisada/preliminar
5,2023-04-28,2023,4,28,BA,Jacobina,-11.28,-40.55,1.6,Magnitude não revisada/preliminar
6,2023-04-27,2023,4,27,BA,Jaguarari,-9.87,-39.9,2.4,Magnitude não revisada/preliminar
7,2023-04-26,2023,4,26,CE,Quixeramobim,-5.17,-39.26,2.0,Magnitude não revisada/preliminar
8,2023-04-25,2023,4,25,CE,Tejuçuoca,-3.81,-39.49,2.3,Magnitude não revisada/preliminar
9,2023-04-24,2023,4,24,CE,Caridade,-4.09,-38.94,2.2,Magnitude não revisada/preliminar
10,2023-04-24,2023,4,24,CE,Maranguape,-4.08,-38.95,1.9,Magnitude não revisada/preliminar
11,2023-04-22,2023,4,22,BA,Iramaia,-13.49,-41.13,2.3,Magnitude não revisada/preliminar
12,2023-04-22,2023,4,22,BA,Jequié,-13.8,-39.89,2.0,Magnitude não revisada/preliminar
13,2023-04-22,2023,4,22,BA,Itajuípe,-14.65,-40.42,2.3,Magnitude não revisada/preliminar
14,2023-04-22,2023,4,22,BA,Jaguarari,-9.87,-39.89,2.0,Magnitude não revisada/preliminar
15,2023-04-21,2023,4,21,BA,Jacobina,-11.25,-40.52,2.1,Magnitude não revisada/preliminar
16,2023-04-21,2023,4,21,AL,Maribondo,-9.56,-36.36,1.8,Magnitude não revisada/preliminar
17,2023-04-20,2023,4,20,BA,Boa Nova,-14.29,-40.22,2.2,Magnitude não revisada/preliminar
18,2023-04-20,2023,4,20,AL,Coité do Nóia,-9.64,-36.58,2.2,Magnitude não revisada/preliminar
19,2023-04-20,2023,4,20,BA,Macureré,-9.27,-39.89,1.6,Magnitude não revisada/preliminar
